,tweets
200,['RT @o_antagonista: “O Brasil não aguenta mais dois anos e meio de Bolsonaro” https://t.co/kpqZayHgLl']
201,['RT @BasedPoland: Brazilian patriots and #Bolsonaro supporters are protesting in front of the Supreme Court building #STFVergonhaInternacion…']
202,['@DebinhaSeabra @UOL Bolsonaro &amp; filhos 👊👋 https://t.co/Bn0TGxfwy6']
203,"['@DeputadoFederal Bolsonaro, robô teleguiado. Piloto: Carluxo.']"
204,['RT @lilomamadeira: Bolsonaro vs Moro kkk\n#InMoroWeTrust https://t.co/paCzrHYGLU']
205,"['Um espião o um patriota, @hfmagnus5?Botou lula na cadeia,  não compactua com mal feitos,  PQ seria diferente com Bo… https://t.co/CwYlY64yTR']"
206,['RT @fernandatanaka_: O Moro entregou 15 meses de conversas com Bolsonaro... E a gente achando que o hacker do Verdevaldo é que era FDP...']
207,"['RT @Joclau53: Qual o motivo do miliciano Bolsonaro, esconder o resultado do exame da covid-19?']"
208,"['@opensante11 @UlissesPSampaio @AbigailMouraF2 @elenalandau @PedroAl_ves @fvilares Traz pra mim, por favor, clipping… https://t.co/yIiERkIQ2m']"
209,['Vamos confiar no Bolsonaro']
210,"['Mano esse um inquérito de Moro vai descer pra 1º instância pq Moro não tem foro privilegiado, só Bolsonaro, vai des… https://t.co/IX6JE3pdLi']"
211,['@Biakicis @GloboNews @MajorVitorHugo @Haddad_Fernando @SF_Moro @LulaOficial Bolsonaro cometeu estelionato eleitoral… https://t.co/3odKpbiz6q']
212,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶 https://t.co/zB9SYU0u6d']"
213,['RT @agsportlight: @cirogomes diz na GNews q Bolsonaro desviava verba de gasolina qnd deputado. Reportagem nossa ontem mostrou q Câmara veto…']
214,['RT @EusbiFreitas: Em reposta @g_g_garci E ele chama tudo isso de biografia?']
215,['É isso!']
216,"['RT @ocolunista_: Dossiê de Moro à PF inclui áudios de WhatsApp e e-mails de Bolsonaro ao longo de 15 meses!\nEu já falei, o cara já estava p…']"
217,"['RT @antoniotabet: Moro está depondo há 8 (oito!) horas na Polícia Federal. Ou seja, duvido que o assunto seja só Jair Bolsonaro. O presiden…']"
218,"[""RT @allantercalivre: @realDonaldTrump 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuela…""]"
219,['RT @McLima9: O presidente Bolsonaro muitíssimo preocupado dando rolê no shopping e sendo assediado pelas mulheres. \nVida difícil viu?\n👇👇🇧🇷…']
220,['eu fui tentar acompanhar e n sei quanto eh 93-65 bolsonaro me mate agora']
221,"['RT @PastorMalafaia: O MAQUIAVELISMO DE MORO ! Pensou que iria destruir o governo Bolsonaro, sair de maneira triunfal . Como diz a Bíblia Pv…']"
222,"[""RT @allantercalivre: 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuelan Embassy to the…""]"
223,['RT @JosBarbosadeAn2: @MandaChuvaII @marciomachry @jairbolsonaro Se eu fosse o PR Bolsonaro eu mandava prender esse Min. Alexandre de Morais…']
224,['RT @carlosjordy: O indivíduo que grava por 15 meses conversas com um aliado bom sujeito não é. Ainda bem que o Presidente Bolsonaro é uma p…']
225,"['RT @342Artes: 🚨URGENTE❗️Os líderes da oposição no Senado, @randolfeap (REDE), e na Câmara, @alessandromolon (PSB), entram com pedido de imp…']"
226,['RT @o_antagonista: Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/aXOm9JaO0A']
227,"['RT @TataAbdias: Eh, olha a crise política que vcs estão criando! IRRESPONSÁVEIS!!\nIncitam uma guerra civil no Brasil em meio a Pandemia. \n@…']"
228,['RT @maurofagundess: Sérgio Moro Catalogou 15 meses de conversa com Bolsonaro.\nAinda acreditam que ele não faz parte de um plano?']
229,['RT @dinotv: Michelzinho Temmer &gt;&gt;&gt;&gt;&gt;&gt; Renan Bolsonaro https://t.co/PqKAJlblSm']
230,['RT @GLCampos_: O STF censura DE NOVO atos do presidente da república. Agora foi o Barroso que decidiu suspender a expulsão de espiões de um…']
231,"['RT @arthurmoledoval: Bolsonaro, num ato de quase masturbação narcisista, sai às ruas para ser abraçado pelo ""povo"" no dia que Moro depõe.…']"
232,"[""RT @allantercalivre: 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuelan Embassy to the…""]"
233,['@FoxNews No Brasil o STF esta dando um GOLPE de estado no presidente Bolsonaro 🇧🇷']
234,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
235,"['@Dilinha5 @ClayrtonDe @reporterenato Desde que Bolsonaro assumiu,  acabou a Lava Jato. https://t.co/mfaLlYByIk']"
236,"['RT @revistaforum: ""Bolsonaro cometeu crime de responsabilidade. O atentado contra a democracia é o principal. Nós não podemos tolerar"", dis…']"
237,"['RT @TatianaYousef: @PauloOnobre2021 @tadeu_alves @Jota_Bosco @LucianoAmaral No meu ponto de vista, se Bolsonaro vencer ele reconquistará o…']"
238,['RT @Pr_AlexandreGon: Essa foi a fala mais forte nesse debate a meu ver e poucos teriam coragem de falar isso. Quem está nesse governo é par…']
239,"['RT @RaquelStasiaki: Tem um circo na Globonews, os jornalistas são os trapezistas, tem também os palhaços entrevistados: Ciro Gomes acusando…']"
240,"['RT @PastorMalafaia: O MAQUIAVELISMO DE MORO 2 &gt; Se a Globo mostrar conversas dele com Bolsonaro , fica comprovado o acordo que ele tem com…']"
241,['RT @zerotoledo: A conta chegou para Bolsonaro\n\nAvaliação positiva do governo cai oito pontos em uma semana e presidente bate recorde de des…']
242,"['RT @WJuniorMetal: ""Ninguém vai querer dar um golpe em cima de mim não, podem ficar tranquilos.""\n\nPresidente Jair Bolsonaro.\n🇧🇷💪🇧🇷💪🇧🇷💪🇧🇷💪🇧🇷💪…']"
243,['90% dos militares estão com Bolsonaro!']
244,"['RT @lacombeopressor: Na eleição presidencial de 2018 viviam chamando o até então candidato Jair Bolsonaro de ditador, o tempo passa, e hoje…']"
245,"['RT @arthurmoledoval: Bolsonaro, num ato de quase masturbação narcisista, sai às ruas para ser abraçado pelo ""povo"" no dia que Moro depõe.…']"
246,"['RT @decademartori: Quem diria que essa cena, que ficou bem conhecida durante os depoimentos e prisão do ex-presidente Lula, se repetiria ag…']"
247,['RT @marxlboro: imagina vc ser a combinação das duas coisas mais insuportáveis do mundo\n\nestudante de direito E filho do bolsonaro https://t…']
248,['RT @terra30: Um jantar com Bolsonaro e filhos deve ser igual àqueles filmes em que o Eddie Murphy interpreta todo mundo']
249,"['@hilde_angel MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
250,"['RT @emb_resistencia: Apoiar Bolsonaro poderia ser petismo invertido, nazismo invertido, monarquismo invertido, republicanismo invertido mas…']"
251,['RT @blogdojefferson: Celso de Mello exigiu que Moro apresentasse de imediato as provas que diz ter contra Bolsonaro. A juíza federal deu 48…']
252,['RT @o_antagonista: Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/aXOm9JaO0A']
253,['RT @SoderanSouza: com essa agora a Globo querer descredibilizar Moro fica ainda mais evidente a perseguição politica a Lula e ao PT pelo o…']
254,"['Quando você quer criticar o presidente, mas ele não dá brecha:']"
255,['Vamos votar. A esquerda e a nova esquerda estão metendo porrada no presidente.  https://t.co/Q9inSwf5XO']
256,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
257,['RT @alcysio: Lembra a foto chocante das valas abertas? pois já estão preenchidas.']
258,['RT @folha: A conta chegou para Bolsonaro\n\nAvaliação positiva do governo cai oito pontos em uma semana e presidente bate recorde de desaprov…']
259,"['RT @monicabergamo: Quem embala? Janaina Paschoal, que apoiou Bolsonaro quando ele afirmava, entre outras coisas, que a ditadura era democra…']"
260,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
261,"['RT @blogdojefferson: OUTRA VEZ. Agora foi a vez do ministro Barroso, STF, meter o bedelho no governo. Ele suspendeu a decisão do Min. Relaç…']"
262,"['RT @edusilvafogo: VÍDEO: “O próprio Moro assumiu que o PT deu autonomia à PF, diferente de Bolsonaro”, diz Haddad na GloboNews https://t.co…']"
263,"['@UOL Oito horas de uma geba de duzentos metros no rabo da família Bolsonaro, dale']"
264,['RT @bibonunes1: Bolsonaro vence pesquisa divulgada hoje Instituto Paraná.\nBolsonaro 26.3%\nLula 23.1%\nMoro 17.5%\nCiro 8.1%\nDória e Witzel fi…']
265,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
266,"['@raquelvillela67 @MarivoneLula ‘É hora de colocar um ponto final  no governo Bolsonaro...."".......... https://t.co/4xQewVvZLL']"
267,"['RT @PastorMalafaia: MAIS UMA USURPAÇÃO DO STF ! Em qualquer lugar do mundo democrático , é prerrogativa do executivo determinar a expulsão…']"
268,['RT @carlosjordy: O indivíduo que grava por 15 meses conversas com um aliado bom sujeito não é. Ainda bem que o Presidente Bolsonaro é uma p…']
269,['@sheisesa A incitação contra Bolsonaro foi criminosa. Uma incitação não justifica a outra.']
270,"['RT @conexaopolitica: Bolsonaro lidera corrida para eleições de 2022 em todos os cenários, diz pesquisa https://t.co/54c3EZuBDR']"
271,"['RT @vivacqua: Tá, mas quem a gente coloca montado no Bolsonaro?']"
272,"['RT @BlogdoNoblat: O impeachment de Dilma fez parte do processo democrático, diz o deputado Vitor Hugo, líder do governo na Câmara. Mas o de…']"
273,"['RT @rosa_riscala: BDM Online [02.05.20 22:58]\n++ATENÇÃO: Terminou o depoimento de Moro na PF de Curitiba, após mais de 8 horas\n\n++Repórter…']"
274,['@AndreHenning https://t.co/DuyC6gWbmy']
275,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶 https://t.co/zB9SYU0u6d']"
276,"['RT @bernardopkuster: STF suspende mais uma ação do Gov, a expulsão de funcionários da Embaixada da Venezuela em Brasília e consulados pelo…']"
277,['RT @FernandoCsarGo7: @gabrielmgat https://t.co/oSqUdzjVg1']
278,['flay rafa porn +18 tóxico exposed fancam kpop começou o bbb lesbian taekook jikook sope chay suede au views bts bol… https://t.co/LcHLpPPhu3']
279,['RT @GuerreroCuba: INCREIBLE. En #Brasil seguidores de Bolsonaro ofenden y golpean a personal médico que protesta contra las políticas asesi…']
280,"['RT @filipetrielli: Pauno Cuz, cachorrinho do Borges, já foi defender o “Boss”. Claro que pra isso precisa atacar seus ex amigos. Rapaz, nun…']"
281,"['@vividantas62 @hilde_angel MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
282,"['RT @felipeneto: Quem ainda está ao lado do Bolsonaro ou não tem inteligência, ou não tem caráter.\n\n#BolsonaroÉCulpado https://t.co/MpRlwJgE…']"
283,['RT @Lechuguinos_com: ¡SE LE REBELÓ AL LOCO! Fiscal General de Brasil da un parao a Bolsonaro y frena expulsión de diplomáticos venezolanos…']
284,['@LuisSipriano @tadeulbr @MarceloDMoraes @DanielaLima_ Já pensou em tatuar a cara do Bolsonaro na banda da sua bunda… https://t.co/FfjW6EiPuO']
285,['RT @OIKCRL: queria fuder c vc igual o bolsonaro ta fudendo com o país']
286,"['RT @JoseMedeirosMT: Não adianta espernear! Como diria o professor Zagallo: “vocês vão ter que me engolir...” no caso, aceitar que o povo ap…']"
287,"['15 meses de conversas registradas? Isso é um dossiê, e olha que o Moro e Bolsonaro eram amigos! Em toda minha vida… https://t.co/bppM7r9OLU']"
288,['RT @ZAMENZA: Ciro Gomes falando que o Bolsonaro roubava até na gasolina quando era deputado e pode provar. Nunca vou perdoar vocês não tere…']
289,"['RT @JornalNoAtaque: Os Antas já sabem até que Moro entregou, além das conversas de Zap, e-mails e áudios dele e de funcionários que autoriz…']"
290,"['RT @ricardope: Tem gente que acha que falta ""sangue nos olhos"" no Haddad. Ora, o bolsonaro é só ""sangue nos olhos"" e vejam aonde isso está…']"
291,['RT @Leitadas_L0en: Mas não tinha um acordão entre Bolsonaro e STF?']
292,"['RT @carteiroreaca: O Ministério Público arquivou a denúncia, sigo fiscalizando e denunciando os desmandos do PSDB em São Paulo. Os deputado…']"
293,['RT @_SaraWinter: Peço a Deus que continue guiando os passos do presidente @jairbolsonaro e o livre de todas as artimanhas do maligno.\n\nBOLS…']
294,['RT @DeputadoFederal: Moro preparou dossiê com 15 meses de conversas com Bolsonaro para entregar à Polícia Federal https://t.co/zaME5pun4X']
295,['RT @direita_sergipe: Canalhice é pouco!']
296,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
297,['RT @marxlboro: imagina vc ser a combinação das duas coisas mais insuportáveis do mundo\n\nestudante de direito E filho do bolsonaro https://t…']
298,"['Vejam isso turma boa. Acho que ele é de esquerda e nem sabe. Mas, a esquerda não a aceita e nem a quer']"
299,"[""RT @allantercalivre: @realDonaldTrump 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuela…""]"
300,['RT @BasedPoland: Brazilian patriots and #Bolsonaro supporters are protesting in front of the Supreme Court building #STFVergonhaInternacion…']
301,"['RT @PastorMalafaia: O MAQUIAVELISMO DE MORO ! Pensou que iria destruir o governo Bolsonaro, sair de maneira triunfal . Como diz a Bíblia Pv…']"
302,['mood']
303,"['Eu que votei em vc, já estou achando uma boa ideia.']"
304,['RT @felipevinha: Hora de inaugurar o meme\n\nBOLSONARO PRESO AMANHÃ (todos eles de preferência)']
305,['RT @OIKCRL: queria fuder c vc igual o bolsonaro ta fudendo com o país']
306,"['@coronel_edilson @jairbolsonaro Jair Bolsonaro será reeleito e os comunavírus vão continuar na mesma, infectando o… https://t.co/Hc4diASi8d']"
307,"[""RT @allantercalivre: @realDonaldTrump 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuela…""]"
308,"['RT @conexaopolitica: Bolsonaro lidera corrida para eleições de 2022 em todos os cenários, diz pesquisa https://t.co/54c3EZuBDR']"
309,['RT @dinotv: Michelzinho Temmer &gt;&gt;&gt;&gt;&gt;&gt; Renan Bolsonaro https://t.co/PqKAJlblSm']
310,['RT @Razao17: Caio Coppola endossa comentários de Bolsonaro e critica fortemente o STF (veja o vídeo) https://t.co/wWwOPJG2Ec']
311,['down with Bolsonaro']
312,['RT @veramagalhaes: Será que Moro está entregando até o resultado do exame de covid do Bolsonaro e a localização do Queiroz? Já são sete hor…']
313,['RT @la_patilla: Bolsonaro llama “judas” a Moro y dice que “nadie dará un golpe” en su contra https://t.co/nHHIBCsTeB…']
314,['RT @bibonunes1: Por que os opositores de Bolsonaro não saem na rua como ele?\nDizem que Bolsonaro não tem popularidade.\nQueria ver o Moro ci…']
315,['RT @brasil247: Nova pesquisa aponta que dispara a rejeição a Bolsonaro https://t.co/kvZRGg03mU']
316,['#OrePorBolsonaro']
317,['Não gostei da parte “estudante de direito” 😡']
318,['RT @RFCavazzani: Parabens. Moro em Guadalajara. Paguei passagem para o Mexico City para votar em Bolsonaro duas vezes. Se estivesse ahi est…']
319,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
320,['RT @_SaraWinter: Peço a Deus que continue guiando os passos do presidente @jairbolsonaro e o livre de todas as artimanhas do maligno.\n\nBOLS…']
321,['RT @alcysio: Lembra a foto chocante das valas abertas? pois já estão preenchidas.']
322,"['@helderbarbalho @Jullysanti MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
323,['RT @anavilarinol: Moro diz que apresentará PROVAS contra Bolsonaro. Coisa que nunca fez contra @LulaOficial']
324,"['@CarlosBolsonaro Carlos, pede para o seu pai renunciar. Ele está passando muita vergonha, sendo humilhado no mundo… https://t.co/Kj5xVjViNH']"
325,['RT @JoselitoMuller3: Então começa mandando o @CarlosBolsonaro capinar um terreno baldio aí de meio dia']
326,['Joice Cirista']
327,['Que assim seja. #AcreditoNoMoro #InMoroWeTrust']
328,"['RT @antoniotabet: Moro está depondo há 8 (oito!) horas na Polícia Federal. Ou seja, duvido que o assunto seja só Jair Bolsonaro. O presiden…']"
329,"['RT @Rodrigo__SP: O cara diz que entregou 15 meses de conversa que, supostamente, comprometeria o Presidente. Ok, quer dizer que ele demorou…']"
330,['@ricardo11sp @roxmo @jornalnacional @milenereis @giuseppe_mazzeo Se Bolsonaro não fez nada de errado então vocês nã… https://t.co/3DbNEmfz19']
331,['@5zt1nm6mMokyh99 @_heliun @STF_oficial TMJ. Bolsonaro sempre. E o Moro é sim um traidor.']
332,['RT @ZAMENZA: Ciro Gomes falando que o Bolsonaro roubava até na gasolina quando era deputado e pode provar. Nunca vou perdoar vocês não tere…']
333,['RT @CBecklas: @allantercalivre TRADUZINDO    URGENTE: O Supremo Tribunal Federal anulou a decisão de Bolsonaro e devolveu a Embaixada da Ve…']
334,"['RT @arthurmoledoval: Bolsonaro, num ato de quase masturbação narcisista, sai às ruas para ser abraçado pelo ""povo"" no dia que Moro depõe.…']"
335,"['RT @monicabergamo: O Centrão vem aí, e com tudo: Bolsonaro ameaça de demissão ministros que não derem cargos ao bloco da velha, tradicional…']"
336,['RT @CarmenLuciaa17: https://t.co/ZTjIafFGOm\n\nEmboscada contra Bolsonaro! Deputado expõe plano de Moro e STF.']
337,"['RT @viniciussexto: Deu na mídia: ""Moro delata Bolsonaro com advogado que já atuou para Marcelo Odebrecht e Eduardo Cunha"". O advogado é tão…']"
338,['RT @albuquerque_af: Quanto tempo para mídia publicar o “depoimento sigiloso” do Moro ?\n\n“URGENTE: Audio bomba explode o governo Bolsonaro”…']
339,['RT @essediafoilouco: Se você conhece essa profissional da saúde covardemente agredida por esse troglodita vestido com a camisa amarela da v…']
340,"['RT @Lia_Gui: @wilsonwitzel BOLSONAOR AVISOU ANTES DO CARNAVAL, MAIS VOCÊ E DÓRIA NÃO LIGOU EM DITADOR #BolsonaroTemRazao \nhttps://t.co/aFVH…']"
341,['@Madalen24653040 @veramagalhaes @SF_Moro Na verdade ele chamou o Bolsonaro de prostituta rs']
342,['RT @allan_frutuozo: Barroso acaba de suspender a decisão do governo Bolsonaro de expulsar 34 diplomatas venezuelanos ligados ao narcoterror…']
343,"['RT @Boscardin: Obrigado, Bia Kicis, por nos informar sobre tudo o que Moro tem contra Bolsonaro. Estávamos na dúvida sobre quais as provas.…']"
344,['RT @ocoringadobem: Vazou print de conversa Moro-Bolsonaro 😵 https://t.co/8kYz8FKBAs']
345,"['RT @FerreFilho: O STF é o QG do crime organizado, é composto por corruptos, verdadeiras marionetes q só sangram o povo brasileiro, o povo é…']"
346,"['RT @brpopular: Mensagens, e-mails e áudios foram entregues por Moro à Polícia Federal. São mensagens que ele trocou com Bolsonaro enquanto…']"
347,['@jiminscold obv q eu ia m*t*r o bolsonaro\n https://t.co/ipiYx4971B']
348,"['Nem precisa ser muito inteligente p saber que ele era inepto. Eu até entendo a maioria sem muito estudo, que acredi… https://t.co/4ozaNnuaxc']"
349,"['- Sr. Moro, você tem algo a dizer contra Jair Bolsonaro?\n- Não\n- Ok\n- MAS EU SÓ ACHO ENGRAÇADO QUE...']"
350,"['RT @GuerreroCuba: Le pide ex presidente de #Brasil a Bolsonaro que renuncie antes de ser renunciado, para salvar al país del coronavirus y…']"
351,['@moonlitly “Quero economizar os adjetivos” Ciro falando do Bolsonaro! Kkkkkkkk']
352,"['RT @DamaresAlves: Chegamos a maio sem um milhão de mortos (claro que estamos tristes com + seis mil pessoas que perdemos), sem povos indíge…']"
353,"['RT @antoniotabet: Moro está depondo há 8 (oito!) horas na Polícia Federal. Ou seja, duvido que o assunto seja só Jair Bolsonaro. O presiden…']"
354,['RT @PATRlOTAS: Adolf Witzel dizendo que se arrependeu de ter apoiado Bolsonaro é a piada do dia. O sujeito se elegeu pendurado nas bolas do…']
355,"['@Vivianemontheir @Joaom195 @MeloChtm @moura_101 Hoje se você luta contra Bolsonaro é por alguma condições, ou você… https://t.co/BSAl4Kj1dA']"
356,"[""RT @allantercalivre: 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuelan Embassy to the…""]"
357,"['RT @ricardope: Tem gente que acha que falta ""sangue nos olhos"" no Haddad. Ora, o bolsonaro é só ""sangue nos olhos"" e vejam aonde isso está…']"
358,['RT @Cristia13308328: @blogdojefferson @anmartinelli Só que o presidente Bolsonaro não renunciará. Ele tem o povo ao seu lado.']
359,['RT @edsonsalomaomc: Critérios diferentes pra julgar casos idênticos. Enquanto quem se manifesta contra Jair Bolsonaro exerce sua liberdade…']
360,"['RT @rosa_riscala: BDM Online [02.05.20 22:58]\n++ATENÇÃO: Terminou o depoimento de Moro na PF de Curitiba, após mais de 8 horas\n\n++Repórter…']"
361,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶 https://t.co/zB9SYU0u6d']"
362,['Desembargadora do TRF-3 \n-\nSuspendeu a obrigação de #Bolsonaro \n-\nEm ter que apresentar exames \nde #Coronavírus (Co… https://t.co/7obfTUiSXJ']
363,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
364,['@Biakicis Melhor parte disso tudo é ver os lavajatistas se reorganizando para a luta. Até ontem o gado bostejava a… https://t.co/n40NhFwGCy']
365,['@BFonsecaBrasil Eu sou robô de Bolsonaro']
366,['@KarinaKufa @jairbolsonaro #ForaMaia\n#NaoVoteNoDem\n#PtLadrao\n#FechadoComBolsonaro\n#GloboLixo\n#MaiaTemQueSair… https://t.co/jY4Qy4TNkO']
367,['RT @Helo_Caum: o ciro gomes: eu to aprendendo a ser mais moderado\n\no ciro gomes 3 segundos depois: pq quem ta promovendo a morte no brasil…']
368,"['RT @CeoMagno: Caráter, dignidade, honestidade e humanidade  é tudo... Muito obrigado nosso Presidente Jair Messias Bolsonaro...']"
369,"['RT @Flavio_Quintela: Assim q o Moro abriu o jogo no dia de sua exoneração, a gente entendeu q se Bolsonaro quer Ramagem a todo custo, deve…']"
370,['RT @artur_slo: ENQUETE\n\nVocê está com o Bolsonaro ou com o Moro?']
371,['@leandroruschel O cara brigou. Usando sua lógica científica. Se o PresiMente Bolsonaro ficar 20 dias trancado no qu… https://t.co/ufXioHhRiy']
372,['RT @reportersalles: STF anula ato de Bolsonaro que determinava expulsão de 34 diplomatas venezuelanos do Brasil.\nO ministro Luís Roberto Ba…']
373,['RT @ValeriaBnews: Amo esse tal de @LiloVLOG']
374,['@leandroruschel A cara dele ao lado do Bolsonaro já dizia tudo. Como não percebemos???']
375,"['RT @RaquelStasiaki: Tem um circo na Globonews, os jornalistas são os trapezistas, tem também os palhaços entrevistados: Ciro Gomes acusando…']"
376,['RT @AndreteleSUR: #Ahora | La Corte Suprema suspendió la orden de expulsión de los diplomáticos venezolanos en #Brasil. La decisión fue tom…']
377,"['RT @JFMargarida: O governo acabou.\nÉ questão de dias.\nDe todo modo, rasgou-se a fantasia. Temos agora Bolsonaro nu e cru.\nUm medíocre. Agor…']"
378,['RT @carmelonetobr: O governo federal enviou há pouco 30 respiradores ao Ceará para equipar as UTIs de combate ao coronavírus. Enquanto os g…']
379,['Judas alega que Bolsonaro queria alguns relatórios da PF.\nJudas supostamente leva para PF 15 meses de relatórios do… https://t.co/9oH2bUAO3I']
380,"[""RT @SaBolsonaro: Eu: “Como é que Moro fica gravando 15 meses do Bolsonaro e apaga conversas de Telegram com o Deltan pra responder 'não me…""]"
381,"['RT @delucca: Segundo deputados bolsonaristas, Moro teria entregue\n\nQUINZE MESES\n\nde conversas entre ele e Jair Bolsonaro.\n\nQUINZE!']"
382,['RT @PATRlOTAS: Adolf Witzel dizendo que se arrependeu de ter apoiado Bolsonaro é a piada do dia. O sujeito se elegeu pendurado nas bolas do…']
383,"['RT @NPTO: Os debates da GloboNews foram bons mas bateu aquela depressão de saber que qualquer um entre Ciro, Haddad e Amoedo teria sido inc…']"
384,['RT @RSouzaJr71: @malumello16 https://t.co/a3VbSIXr09']
385,"['RT @rosa_riscala: BDM Online [02.05.20 22:58]\n++ATENÇÃO: Terminou o depoimento de Moro na PF de Curitiba, após mais de 8 horas\n\n++Repórter…']"
386,"['RT @Oliver_talk: Desde o momento que Bolsonaro começou a esculachar Rodrigo Maia em praça pública, o presidente tem mostrado uma confiança…']"
387,['El ex ministro Moro entregó documentos contra Bolsonaro –\n#brasil #Documentos #JairBolsonaro #Judas #SérgioMoro… https://t.co/UJNYP12Cdt']
388,"['RT @BlogdoNoblat: O impeachment de Dilma fez parte do processo democrático, diz o deputado Vitor Hugo, líder do governo na Câmara. Mas o de…']"
389,['@joicehasselmann @cirogomes @jairbolsonaro https://t.co/DuyC6gWbmy']
390,['RT @marxlboro: imagina vc ser a combinação das duas coisas mais insuportáveis do mundo\n\nestudante de direito E filho do bolsonaro https://t…']
391,"['RT @gugachacra: Em excelente debate na @GloboNews , Ciro Gomes e João Amoedo concordam que não há condições de Bolsonaro terminar o mandato…']"
392,"['RT @dalebolsonaro: Patriotas em Brasília “recado ao STF, tentem a sorte de com uma canetada covarde fazer algo com o Bolsonaro” #STFInimigo…']"
393,['RT @goulart_lenita: Lula não saí na rua com medo do povo.\nDilma não saí na rua com medo do povo.\nDória não saí na rua com medo do povo.\nWit…']
394,['RT @bruvitg: boa noite e fora Bolsonaro! amém.']
395,['RT @Cellbita3301: Ninguém:....\nNinguém mesmo:...\nCalango: PLOT TWIST O LETÍCIO É O BOLSONARO\n#OSegredoNaFloresta https://t.co/eSSeQQQz2s']
396,['RT @clapiclapiclapi: disse o homem que nunca trabalhou https://t.co/VRn5YncoZi']
397,"['RT @ocolunista_: Dossiê de Moro à PF inclui áudios de WhatsApp e e-mails de Bolsonaro ao longo de 15 meses!\nEu já falei, o cara já estava p…']"
398,['RT @AlbuquerqueDavy: 1) Moro entrou no gov. Bolsonaro sabendo do forte apoio popular\n\n2) Anunciou renúncia para sair como herói\n\n3) Usou a…']
399,"['RT @marcofeliciano: Globo News: “Porto Alegre tem panelaço durante visita do presidente Bolsonaro”. Tá, e o vídeo abaixo? Noticiaram?? Kkkk…']"
400,"['RT @PastorMalafaia: O MAQUIAVELISMO DE MORO ! Pensou que iria destruir o governo Bolsonaro, sair de maneira triunfal . Como diz a Bíblia Pv…']"
401,"['RT @Oliver_talk: Desde o momento que Bolsonaro começou a esculachar Rodrigo Maia em praça pública, o presidente tem mostrado uma confiança…']"
402,"['RT @RaquelStasiaki: Tem um circo na Globonews, os jornalistas são os trapezistas, tem também os palhaços entrevistados: Ciro Gomes acusando…']"
403,"['RT @carmelonetobr: Divulgaram que o Moro gravou o presidente Bolsonaro por 15 meses. Se isso realmente for verdade, é sem dúvida uma das ma…']"
404,['RT @direitafisio1: Bora votar? https://t.co/7uT5ZpYY6g via @ImprensaGlobal']
405,"['RT @bibonunes1: O máximo que Moro pode ter gravado de Bolsonaro são palavrões e isso até hoje não é crime para afastar Presidente, a não se…']"
406,"['RT @RaquelStasiaki: Tem um circo na Globonews, os jornalistas são os trapezistas, tem também os palhaços entrevistados: Ciro Gomes acusando…']"
407,"['RT @Madruga002: Veja esse vídeo e repare para quem Paulo Guedes enviou esse recado, muito claro e cristalino, toma ai VerdeMoro.\n\nToma na c…']"
