,tweets
45,['RT @edsonsalomaomc: Critérios diferentes pra julgar casos idênticos. Enquanto quem se manifesta contra Jair Bolsonaro exerce sua liberdade…']
46,"['RT @lacombeopressor: Na eleição presidencial de 2018 viviam chamando o até então candidato Jair Bolsonaro de ditador, o tempo passa, e hoje…']"
47,"[""RT @SaBolsonaro: Eu: “Como é que Moro fica gravando 15 meses do Bolsonaro e apaga conversas de Telegram com o Deltan pra responder 'não me…""]"
48,"['RT @blogdopannunzio: Sim, existe alguém com a índole tão perversa quanto a dos Bolsonaro. Sim, existe alguém tão mentiroso quanto os Bolson…']"
49,['so bater no renan bolsonaro ia me deixar feliz agora 😭😭']
50,"[""RT @brunnosarttori: O @joaoamoedonovo acabou de falar na Globo News que o seu partido nunca defendeu o 'Estado mínimo'. Só resta ele dizer…""]"
51,"['RT @_SaraWinter: Não foi Sérgio Moro, não foi João Doria, não foi Wilson Witzel, foi Jair Bolsonaro que foi eleito com 57.796.986 votos par…']"
52,"['@DamaresAlves Se você não tem o que fazer vou lhe dar uma dica, tudo dentro do seu ministério: pessoas enterrando c… https://t.co/floTWQ7GgS']"
53,['@flor_unplugged pa no sabía que bolsonaro tenía un hijo y nunca me imaginé que fuera fachero']
54,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
55,['RT @Carla_catwoman: Quer dizer que enquanto Bolsonaro carregava Moro pros estádios para mostrar a todo Brasil seu apoio a Moro na época da…']
56,['RT @MBLivre: Quase 9 horas de depoimento de Moro à PF em inquérito sobre Bolsonaro. Acabou de acabar. Ex-ministro ainda cumpre burocracias…']
57,['RT @bobcaladobr: É hora de virar a mesa!\nBolsonaro PRECISA:\n\n1. Expulsar os diplomatas.\n2. Nomear o Ramagem na PF com POSSE IMEDIATA.\n\nEnqu…']
58,"['RT @NPTO: Os debates da GloboNews foram bons mas bateu aquela depressão de saber que qualquer um entre Ciro, Haddad e Amoedo teria sido inc…']"
59,"['RT @gleisi: Lavajatistas e bolsonaristas se agridem na PF em Curitiba, ambos tem razão!  https://t.co/BJpMrKJ6FN']"
60,"['RT @drocabas: La peste fuera de control en Manaos, Brasil. Los muertos se acumulan en pilas. Y Bolsonaro se alza de hombros: ""¿Es la econom…']"
61,"[""RT @brunnosarttori: O @joaoamoedonovo acabou de falar na Globo News que o seu partido nunca defendeu o 'Estado mínimo'. Só resta ele dizer…""]"
62,['RT @BasedPoland: Brazilian patriots and #Bolsonaro supporters are protesting in front of the Supreme Court building #STFVergonhaInternacion…']
63,"['RT @augustosnunes: Ao perderem oficialmente o cargo, Collor e Dilma já haviam perdido o poder e amargavam índices de popularidade siberiano…']"
64,['RT @augustodeAB: As pessoas de camiseta da seleção brasileira e faixas do Moro estão sendo xingadas de COMUNISTAS pelas pessoas de camiseta…']
65,"['RT @JornalDaCidadeO: Neste sábado (2), uma decisão que Bolsonaro tomou há dois meses, foi suspensa por uma liminar. \nhttps://t.co/CDJrYX92lw']"
66,['RT @augustodeAB: As pessoas de camiseta da seleção brasileira e faixas do Moro estão sendo xingadas de COMUNISTAS pelas pessoas de camiseta…']
67,['hoje']
68,"['RT @parafrentebrasi: Quanto mais for o peso dos documentos entregues de Moro contra Bolsonaro, mais fica evidente a sua prevaricação  como…']"
69,"['RT @VillaMarcovilla: ""Quanto mais cedo Bolsonaro for expelido da Presidência, melhor para o Brasil...Somente Sérgio Moro, seu ex-ministro d…']"
70,"['RT @dalebolsonaro: Patriotas em Brasília “recado ao STF, tentem a sorte de com uma canetada covarde fazer algo com o Bolsonaro” #STFInimigo…']"
71,['RT @UNoticias: Bolsonaro tiene 10 días para explicar las razones de la medida de desalojo https://t.co/P9GNdSWfY7']
72,['RT @folha: Moro vive dilema e corre risco de autoincriminação se apresentar provas contra Bolsonaro \n\nhttps://t.co/87EDEm35mn']
73,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
74,"['RT @coronel_edilson: Digno Comandante, General Villas Bôas, lava a alma: “Ninguém tutela o Bolsonaro”. “Pediu o meu apoio e achei oportuno…']"
75,['RT @augustodeAB: As pessoas de camiseta da seleção brasileira e faixas do Moro estão sendo xingadas de COMUNISTAS pelas pessoas de camiseta…']
76,['RT @ricardope: Alguma dúvida de que um debate entre Haddad e bolsonaro teria dado um resultado diferente à eleição de 2018? Eu não tenho ne…']
77,['@Alessandrolb Moro no caso do Lula nao tem como ser mentiroso pois as provas eram concretas. \nMais no caso do Aécio… https://t.co/fiVf7eAMfg']
78,['RT @MarivoneLula: #BolsonaroGenocida &lt; QUERO VOTAR NO #Lula2022 &gt; Lula é o único que empata com Bolsonaro em pesquisa de voto para 2022 htt…']
79,['RT @OPUS10N6: parece ironia querer dormir cedo no seculo da ansiedade pandemia internet governo bolsonaro depressao home offic']
80,['@LaurinhaBonoro @NasserImad4 Ele se  passou para o lado dos ratos então...\nMas tem outros ratos adorando isso e que… https://t.co/PwfXWDbYbX']
81,"['“Mensagens, áudios e e-mails”. É. Acho que é questão de tempo.']"
82,"['Esse sábado quer acabar comigo. A live que tá rolando no momento é do Alok, não deu, aí coloquei no Altas Horas tin… https://t.co/s1rPWd3cv7']"
83,['RT @maurofagundess: Sérgio Moro Catalogou 15 meses de conversa com Bolsonaro.\nAinda acreditam que ele não faz parte de um plano?']
84,"['@rickzyn2 @bolsolulabot MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
85,"['RT @conexaopolitica: Bolsonaro lidera corrida para eleições de 2022 em todos os cenários, diz pesquisa https://t.co/54c3EZuBDR']"
86,"['RT @gleisi: Esse é o governo que prometeu acabar com o tomá lá dá cá. Agora, ameaça seus ministros para cederem cargos em troca de apoio po…']"
87,"['@bot_derruba Engraçado...sea gente quer se manifestar atraves de hashtags a favor do governo, somos bots? Vcs são r… https://t.co/CA0k174XiT']"
88,['RT @o_antagonista: Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/aXOm9JaO0A']
89,['nossa a senha do bolsonaro nao é “familiafeliz”']
90,"['RT @FernandoHortaOf: Só para deixar claro: eu votaria no Alckmin, no Dória e até no Cabo Dalciolo para não deixar Bolsonaro ser eleito. Iss…']"
